"Postcode","Netnummer","Wijken","Plaats","Gemeente","Provincie","Breedtegraad (N):","Lengtegraad (E):","Wijk"
"7608","0546","Wijk 13 SluitersveldWijk 18 SchelfhorstWijk 01 Vriezenveen (buitengebied)","Almelo","Almelo","Overijssel",52.382694366083,6.682811140316,NA
"7609","0546","Wijk 16 OssenkoppelerhoekWijk 19 WindmolenbroekWijk 21 Bornerbroek","Almelo","Almelo","Overijssel",52.332210240974,6.641194976643,NA
"7610","0546",NA,"Almelo","Almelo","Overijssel",52.387641156314,6.6429748833742,"Wijk 20 Aadorp"
"7665","0546",NA,"Albergen","Tubbergen","Overijssel",52.362312072653,6.7502110714635,"Wijk 01 Albergen"
"5091","013","Wijk 01 SpoordonkWijk 02 Middelbeers en WestelbeersWijk 03 Oostelbeers","Oost West en Middelbeers","Oirschot","Noord-Brabant",51.46683562844,5.2509687731927,NA
"5508","040","Wijk 01 Noordelijk WoongebiedWijk 02 Oerle","Veldhoven","Veldhoven","Noord-Brabant",51.428578104114,5.3898390754207,NA
"5509","040",NA,"Veldhoven","Veldhoven","Noord-Brabant",51.43105977769,5.4054664976686,"Wijk 01 Noordelijk Woongebied"
"5611","040","Wijk 11 Stadsdeel CentrumWijk 12 Stadsdeel StratumWijk 13 Stadsdeel TongelreWijk 16 Stadsdeel Strijp","Eindhoven","Eindhoven","Noord-Brabant",51.436918476065,5.4808216700068,NA
"5612","040","Wijk 11 Stadsdeel CentrumWijk 14 Stadsdeel Woensel-Zuid","Eindhoven","Eindhoven","Noord-Brabant",51.448513494288,5.4783390795352,NA
"5613","040","Wijk 11 Stadsdeel CentrumWijk 12 Stadsdeel StratumWijk 13 Stadsdeel Tongelre","Eindhoven","Eindhoven","Noord-Brabant",51.438886476772,5.4962614695464,NA
"5614","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.428270790095,5.4924166195094,"Wijk 12 Stadsdeel Stratum"
"5615","040","Wijk 12 Stadsdeel StratumWijk 17 Stadsdeel Gestel","Eindhoven","Eindhoven","Noord-Brabant",51.428579449473,5.4753019408096,NA
"5616","040","Wijk 16 Stadsdeel StrijpWijk 17 Stadsdeel Gestel","Eindhoven","Eindhoven","Noord-Brabant",51.438484921283,5.4592514547383,NA
"5621","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.455333285156,5.4559442774009,"Wijk 14 Stadsdeel Woensel-Zuid"
"5622","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.459274389918,5.4643782379066,"Wijk 14 Stadsdeel Woensel-Zuid"
"5623","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.460633526933,5.4780641658104,"Wijk 14 Stadsdeel Woensel-Zuid"
"5624","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.47058443729,5.4551453416266,"Wijk 15 Stadsdeel Woensel-Noord"
"5625","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.472050761663,5.4753794070265,"Wijk 15 Stadsdeel Woensel-Noord"
"5626","040","Wijk 14 Stadsdeel Woensel-ZuidWijk 15 Stadsdeel Woensel-Noord","Eindhoven","Eindhoven","Noord-Brabant",51.474011709218,5.4342098562722,NA
"5627","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.485257455497,5.4432416977633,"Wijk 15 Stadsdeel Woensel-Noord"
"5628","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.480185438579,5.4732106789112,"Wijk 15 Stadsdeel Woensel-Noord"
"5629","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.490033688879,5.4688684826126,"Wijk 15 Stadsdeel Woensel-Noord"
"5631","040","Wijk 13 Stadsdeel TongelreWijk 14 Stadsdeel Woensel-Zuid","Eindhoven","Eindhoven","Noord-Brabant",51.45862085354,5.5046326163801,NA
"5632","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.476508872384,5.4973330525435,"Wijk 15 Stadsdeel Woensel-Noord"
"5633","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.491850933408,5.4986957311355,"Wijk 15 Stadsdeel Woensel-Noord"
"5641","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.444279061438,5.5267380706265,"Wijk 13 Stadsdeel Tongelre"
"5642","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.438033028583,5.5158284469659,"Wijk 13 Stadsdeel Tongelre"
"5643","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.426174034445,5.5037444665842,"Wijk 12 Stadsdeel Stratum"
"5644","040","Wijk 12 Stadsdeel StratumWijk 17 Stadsdeel Gestel","Eindhoven","Eindhoven","Noord-Brabant",51.413764277165,5.4819076450878,NA
"5645","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.425156959014,5.5152326420967,"Wijk 12 Stadsdeel Stratum"
"5646","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.412669697598,5.5101444391912,"Wijk 12 Stadsdeel Stratum"
"5647","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.420651368768,5.5229144825375,"Wijk 12 Stadsdeel Stratum"
"5651","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.462605208409,5.4253080363338,"Wijk 16 Stadsdeel Strijp"
"5652","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.43604717752,5.4379152459349,"Wijk 16 Stadsdeel Strijp"
"5653","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.423800977473,5.444014150938,"Wijk 17 Stadsdeel Gestel"
"5654","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.420384688102,5.4586613796398,"Wijk 17 Stadsdeel Gestel"
"5655","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.412584911435,5.4380836756101,"Wijk 17 Stadsdeel Gestel"
"5657","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.454280094527,5.389525447063,"Wijk 16 Stadsdeel Strijp"
"5658","040",NA,"Eindhoven","Eindhoven","Noord-Brabant",51.4418199709,5.4079914433685,"Wijk 16 Stadsdeel Strijp"
"9999","0595",NA,"Stitswerd","Het Hogeland","Groningen",53.358751070526,6.5955232274365,"Wijk 02"
"5223","073","BinnenstadWest","'s-Hertogenbosch","'s-Hertogenbosch","Noord-Brabant",51.690618168253,5.2697438751702,NA
"5531","0497",NA,"Bladel","Bladel","Noord-Brabant",51.35526238868,5.2194780864424,"Wijk 00 Bladel"
"5682","0499",NA,"Best","Best","Noord-Brabant",51.529030485651,5.3789642976875,"Wijk 00 Best"
"4301","0111",NA,"Zierikzee","Schouwen-Duiveland","Zeeland",51.646341659471,3.8867632592365,"Wijk 00 Zierikzee"
"4302","0111",NA,"Zierikzee","Schouwen-Duiveland","Zeeland",51.645110665281,3.9015871866801,"Wijk 00 Zierikzee"
"4303","0111",NA,"Zierikzee","Schouwen-Duiveland","Zeeland",51.663288223391,3.9367109298284,"Wijk 00 Zierikzee"
"4305","0111",NA,"Ouwerkerk","Schouwen-Duiveland","Zeeland",51.624269478786,4.0016271483441,"Wijk 08 Ouwerkerk"
"4306","0111",NA,"Nieuwerkerk","Schouwen-Duiveland","Zeeland",51.656535720616,3.9924589176293,"Wijk 06 Nieuwerkerk"
"4307","0111",NA,"Oosterland","Schouwen-Duiveland","Zeeland",51.648250802177,4.0434875766718,"Wijk 07 Oosterland"
"4308","0111",NA,"Sirjansland","Schouwen-Duiveland","Zeeland",51.682905332643,4.0409939876074,"Wijk 07 Oosterland"
"4311","0111",NA,"Bruinisse","Schouwen-Duiveland","Zeeland",51.663701049561,4.1206921047059,"Wijk 05 Bruinisse"
"4315","0111",NA,"Dreischor","Schouwen-Duiveland","Zeeland",51.702601755871,3.9988428335233,"Wijk 03 Dreischor"
"4316","0111",NA,"Zonnemaire","Schouwen-Duiveland","Zeeland",51.732684267825,3.968725024651,"Wijk 02 Zonnemaire"
"4317","0111",NA,"Noordgouwe","Schouwen-Duiveland","Zeeland",51.68637482394,3.9408284975633,"Wijk 04 Noordgouwe"
"4318","0111","Wijk 01 Brouwershaven","Brouwershaven","Schouwen-Duiveland","Zeeland",51.746512153178,3.9193087011423,NA
"4321","0111",NA,"Kerkwerve","Schouwen-Duiveland","Zeeland",51.692026073598,3.8843898920326,"Wijk 10 Kerkwerve"
"4322","0111","Wijk 09 Scharendijke","Scharendijke","Schouwen-Duiveland","Zeeland",51.732502497411,3.8524661194129,NA
"4323","0111","Wijk 09 ScharendijkeWijk 11 Ellemeet","Ellemeet","Schouwen-Duiveland","Zeeland",51.718654560953,3.8207709546613,NA
"4325","0111","Wijk 13 RenesseWijk 14 Noordwelle","Renesse","Schouwen-Duiveland","Zeeland",51.747921916945,3.7684205482504,NA
"4326","0111",NA,"Noordwelle","Schouwen-Duiveland","Zeeland",51.723873950624,3.7947156807018,"Wijk 14 Noordwelle"
"4327","0118",NA,"Serooskerke","Schouwen-Duiveland","Zeeland",51.684503835987,3.8096259182175,"Wijk 15 Serooskerke"
"4328","0111","Wijk 12 HaamstedeWijk 13 Renesse","Burgh-Haamstede","Schouwen-Duiveland","Zeeland",51.683932192213,3.715381674743,NA
"4331","0118",NA,"Middelburg","Middelburg","Zeeland",51.499873332416,3.6134252130954,"Middelburg-Centrum"
"4332","0118","Middelburg-CentrumMiddelburg-Noord","Middelburg","Middelburg","Zeeland",51.512831797216,3.6355329319879,NA
"4333","0118",NA,"Middelburg","Middelburg","Zeeland",51.519736205122,3.6080578121096,"Middelburg-Noord"
"4334","0118",NA,"Middelburg","Middelburg","Zeeland",51.506628795028,3.5902810060124,"Middelburg-Noord"
"4335","0118",NA,"Middelburg","Middelburg","Zeeland",51.48902027086,3.5957958563503,"Middelburg-Zuidwest"
"4336","0118",NA,"Middelburg","Middelburg","Zeeland",51.483301545738,3.6143838215018,"Middelburg-Zuidoost"
"4337","0118",NA,"Middelburg","Middelburg","Zeeland",51.487395116592,3.6333066278076,"Middelburg-Zuidoost"
"4338","0118",NA,"Middelburg","Middelburg","Zeeland",51.496779018244,3.6443791354193,"Middelburg-Zuidoost"
"4339","0118",NA,"Nieuw- en Sint Joosland","Middelburg","Zeeland",51.482600605609,3.6709202220106,"Nieuw- en Sint Joosland"
"4341","0118","Arnemuiden","Arnemuiden","Middelburg","Zeeland",51.512108159499,3.6950542144281,NA
"4351","0118",NA,"Veere","Veere","Zeeland",51.542961267489,3.6608853237399,"Wijk 00 Veere"
"4352","0118",NA,"Gapinge","Veere","Zeeland",51.54360583456,3.627756779223,"Wijk 01 Gapinge"
"4353","0118",NA,"Serooskerke","Veere","Zeeland",51.551984776047,3.59738793747,"Wijk 03 Serooskerke"
"4354","0118","Wijk 02 Vrouwenpolder","Vrouwenpolder","Veere","Zeeland",51.616140025496,3.6659927886335,NA
"4356","0118","Wijk 04 DomburgWijk 05 OostkapelleWijk 07 Grijpskerke","Oostkapelle","Veere","Zeeland",51.571675305387,3.5481786677677,NA
"4357","0118",NA,"Domburg","Veere","Zeeland",51.57837535895,3.4612141360457,"Wijk 04 Domburg"
"4361","0118",NA,"Westkapelle","Veere","Zeeland",51.519740833407,3.3997757366732,"Wijk 12 Westkapelle"
"4363","0118",NA,"Aagtekerke","Veere","Zeeland",51.541438958294,3.5052483016316,"Wijk 06 Aagtekerke"
"4364","0118",NA,"Grijpskerke","Veere","Zeeland",51.528004270527,3.5646003401755,"Wijk 07 Grijpskerke"
"4365","0118","Wijk 07 GrijpskerkeWijk 08 Meliskerke","Meliskerke","Veere","Zeeland",51.521421330894,3.5185825412802,NA
"4371","0118",NA,"Koudekerke","Veere","Zeeland",51.481651956122,3.5529623632073,"Wijk 09 Koudekerke"
"4373","0118",NA,"Biggekerke","Veere","Zeeland",51.49151065449,3.5143904273188,"Wijk 10 Biggekerke"
"4374","0118",NA,"Zoutelande","Veere","Zeeland",51.48891213586,3.4587252464303,"Wijk 11 Zoutelande"
"4381","0118","BinnenstadMiddengebied","Vlissingen","Vlissingen","Zeeland",51.428307463193,3.5720811536976,NA
"4382","0118","BinnenstadMiddengebiedBinnen- en Buitenhavens","Vlissingen","Vlissingen","Zeeland",51.43045614117,3.5952858946349,NA
"4383","0118",NA,"Vlissingen","Vlissingen","Zeeland",51.457321170771,3.5721258376972,"Middengebied"
"4384","0118","Paauwenburg - WestduinLammerenburg","Vlissingen","Vlissingen","Zeeland",51.446633780323,3.5037447768302,NA
"4385","0118",NA,"Vlissingen","Vlissingen","Zeeland",51.462173293948,3.5750466925636,"Lammerenburg"
"4386","0118",NA,"Vlissingen","Vlissingen","Zeeland",51.468493667512,3.5773870353058,"Lammerenburg"
"4387","0118",NA,"Vlissingen","Vlissingen","Zeeland",51.473555752189,3.5847704578443,"Lammerenburg"
"4388","0118",NA,"Oost-Souburg","Vlissingen","Zeeland",51.467719037772,3.6046695472965,"Oost-Souburg"
"4389","0118","Ritthem e.o.Sloegebied","Ritthem","Vlissingen","Zeeland",51.407842338278,3.6887382741071,NA
"4401","0113","Wijk 00 YersekeWijk 01 Kruiningen","Yerseke","Reimerswaal","Zeeland",51.495868633199,4.0588458821563,NA
"4411","0113",NA,"Rilland","Reimerswaal","Zeeland",51.408440636665,4.2008281122967,"Wijk 04 Rilland-Bath"
"4413","0113",NA,"Krabbendijke","Reimerswaal","Zeeland",51.447898918459,4.1165469161916,"Wijk 02 Krabbendijke"
"4414","0113",NA,"Waarde","Reimerswaal","Zeeland",51.418414056785,4.0855466069722,"Wijk 03 Waarde"
"4415","0113",NA,"Oostdijk","Reimerswaal","Zeeland",51.446746864007,4.0736537124366,"Wijk 06 Oostdijk"
"4416","0113",NA,"Kruiningen","Reimerswaal","Zeeland",51.448616892179,4.0416329529305,"Wijk 01 Kruiningen"
"4417","0113","Wijk 05 Hansweert","Hansweert","Reimerswaal","Zeeland",51.445103141947,3.9827055352277,NA
"4421","0113","Wijk 00 KapelleWijk 01 Wemeldinge","Kapelle","Kapelle","Zeeland",51.479564610422,3.959440845667,NA
"4423","0113","Wijk 00 KapelleWijk 02 Schore","Schore","Kapelle","Zeeland",51.471103001765,3.9938835599656,NA
"4424","0113",NA,"Wemeldinge","Kapelle","Zeeland",51.53354791862,3.9994051540109,"Wijk 01 Wemeldinge"
"4431","0113",NA,"'s-Gravenpolder","Borsele","Zeeland",51.457380531007,3.9024364106781,"'s-Gravenpolder"
"4433","0113",NA,"Hoedekenskerke","Borsele","Zeeland",51.405477335714,3.9236884102954,"Hoedekenskerke"
"4434","0113",NA,"Kwadendamme","Borsele","Zeeland",51.435117508333,3.8773724263278,"Kwadendamme"
"4435","0113",NA,"Baarland","Borsele","Zeeland",51.41041482988,3.8845734013939,"Baarland"
"4436","0113","OudelandeOvezande","Oudelande","Borsele","Zeeland",51.408927393095,3.8454377598731,NA
"4437","0113",NA,"Ellewoutsdijk","Borsele","Zeeland",51.382638772112,3.8217296888988,"Ellewoutsdijk"
"4438","0113",NA,"Driewegen","Borsele","Zeeland",51.415579128143,3.8012201715998,"Driewegen"
"4441","0113","NisseOvezande","Ovezande","Borsele","Zeeland",51.434858987243,3.8049901422172,NA
"4443","0113",NA,"Nisse","Borsele","Zeeland",51.44867692878,3.8532755590808,"Nisse"
"4444","0113",NA,"'s-Heer Abtskerke","Borsele","Zeeland",51.473169786722,3.8623855373099,"'s-Heer Abtskerke"
"4451","0113","Heinkenszand's-Heer Abtskerke","Heinkenszand","Borsele","Zeeland",51.465365382058,3.8087181911416,NA
"4453","0113",NA,"'s-Heerenhoek","Borsele","Zeeland",51.455094334645,3.7722852246965,"'s-Heerenhoek"
"4454","0113","BorsseleNieuwdorp","Borssele","Borsele","Zeeland",51.418144626155,3.753116614591,NA
"4455","0113","Nieuwdorp","Nieuwdorp","Borsele","Zeeland",51.459233161577,3.7289217495784,NA
"4456","0113",NA,"Lewedorp","Borsele","Zeeland",51.488186813803,3.7456645553231,"Lewedorp"
"4458","0113","Wijk 05 's-Heer-ArendskerkeWijk 06 EindewegeWijk 07 's-Heer-HendrikskinderenWijk 08 Wolphaartsdijk","'s-Heer Arendskerke","Goes","Zeeland",51.499661334342,3.8006389570878,NA
"4461","0113","Wijk 01 GoesWijk 03 KloetingeWijk 07 's-Heer-Hendrikskinderen","Goes","Goes","Zeeland",51.503616339665,3.8897359319144,NA
"4462","0113","Wijk 01 GoesWijk 03 KloetingeWijk 07 's-Heer-Hendrikskinderen","Goes","Goes","Zeeland",51.489162167417,3.8861974969062,NA
"4463","0113","Wijk 01 GoesWijk 07 's-Heer-Hendrikskinderen","Goes","Goes","Zeeland",51.513301953999,3.880576656083,NA
"4464","0113",NA,"Goes","Goes","Zeeland",51.51389494071,3.9067808508725,"Wijk 01 Goes"
"4465","0113",NA,"Goes","Goes","Zeeland",51.521346664672,3.9086281399803,"Wijk 01 Goes"
"4471","0113","Wijk 05 's-Heer-ArendskerkeWijk 07 's-Heer-HendrikskinderenWijk 08 WolphaartsdijkWijk 09 Oud-Sabbinge","Wolphaartsdijk","Goes","Zeeland",51.527336436591,3.7991100644863,NA
"4472","0113",NA,"'s-Heer Hendrikskinderen","Goes","Zeeland",51.504353826365,3.8584332758939,"Wijk 07 's-Heer-Hendrikskinderen"
"4474","0113","Wijk 02 WilhelminadorpWijk 03 KloetingeWijk 04 Kattendijke","Kattendijke","Goes","Zeeland",51.516918489784,3.9475663317352,NA
"4475","0113","Wijk 02 WilhelminadorpWijk 08 Wolphaartsdijk","Wilhelminadorp","Goes","Zeeland",51.539134274471,3.903715461585,NA
"4481","0113","Wijk 01 GoesWijk 03 Kloetinge","Kloetinge","Goes","Zeeland",51.502444645744,3.9233148443016,NA
"4484","0113",NA,"Kortgene","Noord-Beveland","Zeeland",51.559426315907,3.8014131186576,"Wijk 00 Kortgene"
"4485","0113","Wijk 00 KortgeneWijk 02 Kats","Kats","Noord-Beveland","Zeeland",51.573793587015,3.9174395567989,NA
"4486","0113",NA,"Colijnsplaat","Noord-Beveland","Zeeland",51.610343061694,3.8215135364521,"Wijk 01 Colijnsplaat"
"4491","0113",NA,"Wissenkerke","Noord-Beveland","Zeeland",51.58539908111,3.7646088158028,"Wijk 04 Wissenkerke"
"4493","0113","Wijk 03 KamperlandWijk 04 Wissenkerke","Kamperland","Noord-Beveland","Zeeland",51.575057541005,3.6982624516538,NA
"4494","0113",NA,"Geersdijk","Noord-Beveland","Zeeland",51.563163811831,3.7586751144714,"Wijk 05 Geersdijk"
"4501","0117",NA,"Oostburg","Sluis","Zeeland",51.324188199979,3.4794522581899,"Wijk 05 Oostburg"
"4503","0117","Wijk 09 GroedeWijk 10 Breskens","Groede","Sluis","Zeeland",51.385476558899,3.4994977593204,NA
"4504","0117",NA,"Nieuwvliet","Sluis","Zeeland",51.393485480453,3.4536412095435,"Wijk 08 Nieuwvliet"
"4505","0117",NA,"Zuidzande","Sluis","Zeeland",51.342867790464,3.4422820488831,"Wijk 06 Zuidzande"
"4506","0117","Wijk 06 ZuidzandeWijk 07 Cadzand","Cadzand","Sluis","Zeeland",51.412117429526,3.3814879789334,NA
"4507","0117","Wijk 05 OostburgWijk 11 HoofdplaatWijk 12 IJzendijkeWijk 13 Schoondijke","Schoondijke","Sluis","Zeeland",51.353738459095,3.5582009783995,NA
"4508","0117","Wijk 05 OostburgWijk 14 Waterlandkerkje","Waterlandkerkje","Sluis","Zeeland",51.312460486502,3.5514519218866,NA
"4511","0117","Wijk 09 GroedeWijk 10 Breskens","Breskens","Sluis","Zeeland",51.402115255328,3.5400566172268,NA
"4513","0117",NA,"Hoofdplaat","Sluis","Zeeland",51.365660260919,3.6503131105443,"Wijk 11 Hoofdplaat"
"4515","0117","Wijk 11 HoofdplaatWijk 12 IJzendijkeWijk 14 Waterlandkerkje","IJzendijke","Sluis","Zeeland",51.321204210874,3.6214965389286,NA
"4521","0115","Kern BiervlietBuitengebied Biervliet","Biervliet","Terneuzen","Zeeland",51.335795354356,3.6950161750486,NA
"4522","0115","Wijk 11 HoofdplaatWijk 12 IJzendijke","Biervliet","Sluis","Zeeland",51.323735263889,3.6646509717447,NA
"4524","0117","Wijk 00 SluisWijk 08 Nieuwvliet","Sluis","Sluis","Zeeland",51.294678827107,3.3974148414804,NA
"4525","0117",NA,"Retranchement","Sluis","Zeeland",51.34737408989,3.3910519320217,"Wijk 01 Retranchement"
"4527","0117","Wijk 00 SluisWijk 02 Aardenburg","Aardenburg","Sluis","Zeeland",51.286381090852,3.4490150181752,NA
"4528","0117","Wijk 02 AardenburgWijk 04 Sint Kruis","Sint Kruis","Sluis","Zeeland",51.279637485777,3.5029031091296,NA
"4529","0117","Wijk 02 AardenburgWijk 03 Eede","Eede","Sluis","Zeeland",51.251524474416,3.4663433823292,NA
"4531","0115","Terneuzen CentrumTerneuzen WestTerneuzen NoordBuitengebied Hoek","Terneuzen","Terneuzen","Zeeland",51.346558064538,3.8276318779749,NA
"4532","0115","Terneuzen ZuidTerneuzen Noord","Terneuzen","Terneuzen","Zeeland",51.329977861161,3.8456540118112,NA
"4533","0115","Terneuzen OostBuitengebied Terneuzen","Terneuzen","Terneuzen","Zeeland",51.327370235372,3.8753538161499,NA
"4535","0115",NA,"Terneuzen","Terneuzen","Zeeland",51.314709912718,3.8567731865348,"Terneuzen Zuid"
"4536","0115","Terneuzen ZuidTerneuzen Noord","Terneuzen","Terneuzen","Zeeland",51.316636309387,3.8484654904031,NA
"4537","0115","Terneuzen CentrumTerneuzen ZuidTerneuzen Noord","Terneuzen","Terneuzen","Zeeland",51.323298901962,3.8370443876764,NA
"4538","0115","Terneuzen CentrumTerneuzen WestTerneuzen ZuidTerneuzen NoordBuitengebied Terneuzen","Terneuzen","Terneuzen","Zeeland",51.303019364611,3.8472174992665,NA
"4539","0115","Kern SpuiBuitengebied Spui","Spui","Terneuzen","Zeeland",51.296112390185,3.8724151147632,NA
"4541","0115","Kern SluiskilBuitengebied Sluiskil","Sluiskil","Terneuzen","Zeeland",51.287473744091,3.8345075079098,NA
"4542","0115","Kern HoekBuitengebied HoekBuitengebied Philippine","Hoek","Terneuzen","Zeeland",51.320750021029,3.773778442965,NA
"4543","0115","Kern ZaamslagBuitengebied Zaamslag","Zaamslag","Terneuzen","Zeeland",51.343263944285,3.9080242023314,NA
"4551","0115","Kern Sas van GentBuitengebied Sas van Gent","Sas van Gent","Terneuzen","Zeeland",51.256259211487,3.8047261867574,NA
"4553","0115","Kern PhilippineBuitengebied Philippine","Philippine","Terneuzen","Zeeland",51.286494751274,3.7391686635204,NA
"4554","0115","Kern WestdorpeBuitengebied Westdorpe","Westdorpe","Terneuzen","Zeeland",51.238326845052,3.8435007492808,NA
"4561","0114","Wijk 01 HulstWijk 02 St. JansteenWijk 04 GrauwWijk 05 HeikantWijk 11 Vogelwaarde","Hulst","Hulst","Zeeland",51.286154423332,4.0298489214356,NA
"4562","0114",NA,"Hulst","Hulst","Zeeland",51.273230275281,4.065544764445,"Wijk 01 Hulst"
"4564","0114",NA,"Sint Jansteen","Hulst","Zeeland",51.259112481018,4.0482478601215,"Wijk 02 St. Jansteen"
"4565","0114",NA,"Kapellebrug","Hulst","Zeeland",51.252975860371,4.0636443282656,"Wijk 07 Kapellebrug"
"4566","0114","Wijk 02 St. JansteenWijk 05 Heikant","Heikant","Hulst","Zeeland",51.25130413048,4.0140396285591,NA
"4567","0114","Wijk 01 HulstWijk 03 ClingeWijk 06 Nieuw Namen","Clinge","Hulst","Zeeland",51.277432186388,4.0976404629591,NA
"4568","0114","Wijk 04 GrauwWijk 06 Nieuw Namen","Nieuw Namen","Hulst","Zeeland",51.337085282585,4.171086902102,NA
"4569","0114",NA,"Graauw","Hulst","Zeeland",51.333235555233,4.1059001949267,"Wijk 04 Grauw"
"4571","0115","Kern AxelBuitengebied AxelBuitengebied SluiskilKern Spui","Axel","Terneuzen","Zeeland",51.274444409069,3.9233348362901,NA
"4574","0115","Kern ZuiddorpeBuitengebied Zuiddorpe","Zuiddorpe","Terneuzen","Zeeland",51.233538526342,3.8963526029478,NA
"4575","0115","Kern OverslagBuitengebied Overslag","Overslag","Terneuzen","Zeeland",51.21339243792,3.9018716485868,NA
"4576","0114","Kern KoewachtBuitengebied Koewacht","Koewacht","Terneuzen","Zeeland",51.238671432196,3.9566728505303,NA
"4581","0114","Wijk 11 VogelwaardeWijk 12 Hengstdijk","Vogelwaarde","Hulst","Zeeland",51.317491019117,3.9823123680675,NA
"4583","0114",NA,"Terhole","Hulst","Zeeland",51.311905649953,4.043863623692,"Wijk 10 Ter Hole"
"4584","0114","Wijk 09 LamswaardeWijk 10 Ter Hole","Kuitaart","Hulst","Zeeland",51.329446715093,4.0437641962282,NA
"4585","0114","Wijk 11 VogelwaardeWijk 12 Hengstdijk","Hengstdijk","Hulst","Zeeland",51.341312328811,3.9974927142636,NA
"4586","0114","Wijk 04 GrauwWijk 09 Lamswaarde","Lamswaarde","Hulst","Zeeland",51.343591842045,4.0515345950289,NA
